,ABIERTA 1,ABIERTA_LIMPIADA,ABIERTA_LIMPIADA_TEXT,sentimiento,polaridad,subjetividad,categoria_sentimiento,cluster
41,"HABER APRENDIDO LO QUE ELLOS ME ENSEÑARON LA ALIMENTACION Y SOBRE LOS PIES Y TODO ESO , LA MEMORIA  COMO ESCUCHAR ....","['haber', 'aprendido', 'enseñaron', 'alimentacion', 'pies', 'memoria', 'escuchar']",haber aprendido enseñaron alimentacion pies memoria escuchar,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
42,"FUE BENEFICIOSO EN TODO HAMBITO , FUE A SANTO TOMAS A PODOLOGIA Y ESTA ESPERAND UNA HORA PARA LIMPIEZA DENTAL .. ME ENCANTO Y ME SIRVE PARA HABLAR CON MAS PERSONAS","['beneficioso', 'hambito', 'podologia', 'esperand', 'hora', 'limpieza', 'dental', 'encanto', 'sirve', 'hablar', 'personas']",beneficioso hambito podologia esperand hora limpieza dental encanto sirve hablar personas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
43,APRENDER TODO LO QUE LE ENSEÑARON Y FUE MUY BUENO LO QUE HICIERON FELICITAR A TODOS QUIENES HICIERON LAS CLASES COMO PROFESORES ALUMNAS,"['aprender', 'enseñaron', 'bueno', 'hicieron', 'felicitar', 'hicieron', 'clases', 'profesores', 'alumnas']",aprender enseñaron bueno hicieron felicitar hicieron clases profesores alumnas,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
44,"SE SINTIO BIEN, APRENDIO VARIAS COSAS","['sintio', 'bien', 'aprendio', 'varias']",sintio bien aprendio varias,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
45,LE PARECIO BIEN LAS CHARLAS QUE DIERON,"['parecio', 'bien', 'charlas', 'dieron']",parecio bien charlas dieron,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
46,"ENTRETENIDO LAS CLASES MUY SOCIABLES MUY AMABLES CON MUCHA PACIENCIA , SE SINTIO BIEN , MUY AGRADECIDA POR QUE ME CONSIDERARON Y AGRADECIDA DE TODOS .....","['entretenido', 'clases', 'sociables', 'amables', 'mucha', 'paciencia', 'sintio', 'bien', 'agradecida', 'consideraron', 'agradecida']",entretenido clases sociables amables mucha paciencia sintio bien agradecida consideraron agradecida,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
47,FUE BUENO POR QUE SALIAMOS Y NOS ENTRETENIAMOS Y COMPARTIAMOS CON MAS GENTE,"['bueno', 'saliamos', 'entreteniamos', 'compartiamos', 'gente']",bueno saliamos entreteniamos compartiamos gente,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
48,"LE SIRVIO PARA CUIDARSE MAS DE LAS ENFERMEDADES, ALIMENTACIONES Y ESTUVO MUY HERMOSO, ESTA MUY AGRADECIDA DE LAS ACTIVIDADES","['sirvio', 'cuidarse', 'enfermedades', 'alimentaciones', 'hermoso', 'agradecida', 'actividades']",sirvio cuidarse enfermedades alimentaciones hermoso agradecida actividades,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
49,"CUANDO LES ENSEÑARON A SEMBRAR SEMILLAS Y PREPARAR LA TIERRA, SE SIENTE MUY CONFORME Y ESPERAR QUE VUELVAN A PREPARARLOS ENSEÑARLES MÁS DE LAS ACTIVIDADES PARA SEGUIR APRENDIENDO SALIR PARA QUE NO QUEDAR SIEMPRE ENCERRADA EN SU CASA, ESTA MUY CONTENTA Y LE HIZO MUY BIEN PARA SU SALUD COMPARTIR CON OTRAS PERSONAS DE SU ETAPA DE LA TERCERA EDAD","['enseñaron', 'sembrar', 'semillas', 'preparar', 'tierra', 'conforme', 'esperar', 'vuelvan', 'prepararlos', 'enseñarles', 'actividades', 'seguir', 'aprendiendo', 'salir', 'quedar', 'siempre', 'encerrada', 'casa', 'contenta', 'hizo', 'bien', 'salud', 'compartir', 'personas', 'etapa', 'tercera', 'edad']",enseñaron sembrar semillas preparar tierra conforme esperar vuelvan prepararlos enseñarles actividades seguir aprendiendo salir quedar siempre encerrada casa contenta hizo bien salud compartir personas etapa tercera edad,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
50,FUE BUENA POR QUE LE SIRVIO PARA SABER COMO SE SIEMBRA COMO SE HARA,"['buena', 'sirvio', 'saber', 'siembra', 'hara']",buena sirvio saber siembra hara,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
51,"TUVIMOS LAS PLANTA LO DEJO MUCHO,  PARA SU CASA, TODO FUE TODO NUEVO Y MUY VALIOSO. GRACIAS A LAS PERSONA Y LA TASA LIVIANITA MUY LINDA QUE NOS DEJO, NO ES PESADA, ANDO POR TODAS PARTE CON MI TASA DE SANTO TOMAS Y TUVIMOS MAS AMISTADES","['planta', 'dejo', 'casa', 'nuevo', 'valioso', 'gracias', 'persona', 'tasa', 'livianita', 'linda', 'dejo', 'pesada', 'ando', 'todas', 'parte', 'tasa', 'amistades']",planta dejo casa nuevo valioso gracias persona tasa livianita linda dejo pesada ando todas parte tasa amistades,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Neutro,0
